attack,config,n,stamp_mean,stamp_ci95,stampv2_mean,stampv2_ci95,audioseal_mean,audioseal_ci95,wavmark_mean,wavmark_ci95
encodec,24bw,250,0.58125,0.01885336168931026,0.558,0.01772104319411107,0.6855,0.023514669744070203,0.5,0.0
gaussian_noise,05,250,0.7435,0.027192194308758928,0.642,0.025061801330785765,0.488,0.016378414092724947,0.5,0.0
gaussian_noise,10,250,0.83925,0.025659221793581523,0.7485,0.02614619512813891,0.5165,0.014929240654032745,0.502,0.005549280354226051
gaussian_noise,20,250,0.94975,0.016732335875645748,0.898,0.022660573265539677,0.60725,0.023468964458856816,0.58775,0.027231615875905182
gaussian_noise,30,250,0.97675,0.01147686691990409,0.93875,0.01757211446660046,0.764,0.025744816330117524,0.6845,0.038282265211437995
gaussian_noise,40,250,0.976,0.011957587095924767,0.955,0.01402871553057339,0.8825,0.01960491906144023,0.684,0.03834452990315536
highpass,0.06,250,0.96825,0.012656355785417392,0.84675,0.023992563950099174,0.45675,0.01626394639098504,0.684,0.03834452990315536
highpass,0.07,250,0.9655,0.013498227698628294,0.8335,0.025187836868306446,0.46425,0.01617417373419538,0.684,0.03834452990315536
highpass,0.08,250,0.96125,0.014996294388332275,0.83975,0.025977944530082286,0.4665,0.015245601696369264,0.684,0.03834452990315536
highpass,0.09,250,0.96325,0.014047295913803475,0.862,0.024039038664632136,0.47425,0.015530621921516096,0.68,0.037739953050115196
highpass,0.1,250,0.9655,0.0129141023131388,0.90475,0.019897570930032204,0.48525,0.015378633132632836,0.67425,0.03708063687322124
lowpass,0.1,250,0.968,0.013698899436930421,0.955,0.01443523272327469,0.9155,0.015173073222126627,0.684,0.03834452990315536
lowpass,0.2,250,0.978,0.011356723253307216,0.955,0.01443523272327469,0.91625,0.01494153969421274,0.684,0.03834452990315536
lowpass,0.3,250,0.978,0.011356723253307216,0.955,0.01443523272327469,0.91625,0.01494153969421274,0.684,0.03834452990315536
lowpass,0.4,250,0.978,0.011356723253307216,0.955,0.01443523272327469,0.91625,0.01494153969421274,0.684,0.03834452990315536
lowpass,0.5,250,0.978,0.011356723253307216,0.955,0.01443523272327469,0.91625,0.01494153969421274,0.684,0.03834452990315536
mp3,08,250,0.72975,0.02401682633883083,0.94425,0.016650649986709818,0.91325,0.014642194913589637,0.5105,0.00953245641485996
mp3,16,250,0.93275,0.018302248078827795,0.93275,0.017480344544130878,0.9125,0.015323073658551066,0.6835,0.038287151388498246
mp3,24,250,0.952,0.01589863139774255,0.9335,0.017226268164040576,0.917,0.014424407249450218,0.68325,0.03820795119524406
mp3,32,250,0.9485,0.01699578454704219,0.936,0.01707785225814429,0.91375,0.014704099160727733,0.68,0.03799459431007454
mp3,40,250,0.96225,0.014413473295836752,0.94,0.016428497867080692,0.9105,0.016100528016485628,0.684,0.03834452990315536
opus,016kbps,250,0.88525,0.023093303580932815,0.87125,0.02241432617930526,0.74225,0.026271744782095884,0.66175,0.03675676885454577
opus,032kbps,250,0.94525,0.017311281798585574,0.91975,0.019693472396204795,0.8515,0.022059596751421846,0.684,0.03834452990315536
opus,064kbps,250,0.97375,0.012698341684098141,0.9495,0.015360658766830414,0.911,0.016083390419608618,0.684,0.03834452990315536
opus,128kbps,250,0.9755,0.012339057002495912,0.95675,0.013967442363752176,0.9155,0.015173073222126627,0.684,0.03834452990315536
opus,256kbps,250,0.978,0.011356723253307216,0.9585,0.013745558523263647,0.9175,0.014485245228068083,0.684,0.03834452990315536
quantization,04,250,0.61725,0.02639076059112949,0.53625,0.018258361400853493,0.48325,0.016038272010297904,0.5,0.0
quantization,06,250,0.641,0.02498527280275548,0.548,0.019838044420398472,0.4865,0.017038848642211977,0.5,0.0
quantization,08,250,0.6735,0.0263647146450185,0.57175,0.019648668992394643,0.506,0.01728717429716965,0.498,0.00276628700157818
quantization,12,250,0.72075,0.0286972877061012,0.634,0.024356000918108283,0.506,0.017646011916186182,0.49925,0.006229178683283464
quantization,16,250,0.79775,0.02777885900519534,0.70225,0.027490994282976865,0.517,0.0191515072859893,0.508,0.009645084812700025
smooth,06,250,0.978,0.011356723253307216,0.957,0.014056731240679347,0.89575,0.017739669894104772,0.684,0.03834452990315536
smooth,10,250,0.97925,0.010501114130984764,0.955,0.014683591913627395,0.842,0.02083240135425436,0.684,0.03834452990315536
smooth,14,250,0.97575,0.01181795042335325,0.9525,0.01514584916694841,0.82825,0.021941631964213875,0.67425,0.03695038647487425
smooth,18,250,0.97825,0.01080970077863836,0.95125,0.015330151472725468,0.8465,0.019786162094801683,0.6535,0.03673529049662579
smooth,22,250,0.97725,0.012065360304487738,0.925,0.018410223936213437,0.8345,0.01928647023528531,0.68325,0.03825839205521584
time_stretch,0.7,250,0.53075,0.018242405263539038,0.51975,0.016343435229485923,0.53625,0.022515195448949973,0.68,0.03783564435734831
time_stretch,0.9,250,0.61325,0.020668947675001933,0.529,0.01578932769551336,0.569,0.0264187883733616,0.68375,0.03837872740031214
time_stretch,1.1,250,0.699,0.022335871557495397,0.5515,0.01595699119105748,0.66725,0.030609768822870226,0.6835,0.038287151388498246
time_stretch,1.3,250,0.5595,0.02122854935294737,0.5115,0.015017466189842154,0.64025,0.029857722383728053,0.67725,0.037745944057224
time_stretch,1.5,250,0.51575,0.016351457213717936,0.50575,0.015392797055922594,0.606,0.028800643009332345,0.604,0.03019355927489747
